BU,CU,42
CU,BU,42
BU,KMILT,52
KMILT,BU,52
BU,MU,62
MU,BU,62
CU,MU,28
MU,CU,28
CU,SU,62
SU,CU,62
KMILT,CU,34
CU,KMILT,34
KMILT,KU,34
KU,KMILT,34
KMILT,KMUTT,45
KMUTT,KMILT,45
KMUTT,CU,15
CU,KMUTT,15
KMUTT,KMUTNB,24
KMUTNB,KMUTT,24
KMUTT,SWU,17
SWU,KMUTT,17
KU,ABAC,63
ABAC,KU,63
KU,CMU,679
CMU,KU,679
KU,TU,30
TU,KU,30
MU,KU,36
KU,MU,36
MU,PSU,935
PSU,MU,935
MU,SU,38
SU,MU,38
MU,SWU,31
SWU,MU,31
PSU,KMUTNB,956
KMUTNB,PSU,956
PSU,KKU,1395
KKU,PSU,1395
PSU,SWU,947
SWU,PSU,947
RU,SU,72
SU,RU,72
SWU,CMU,691
CMU,SWU,691
SWU,KU,23
KU,SWU,23
SWU,RU,18
RU,SWU,18
TU,ABAC,84
ABAC,TU,84
KKU,TU,415
TU,KKU,415
KKU,KU,438
KU,KKU,438
KKU,SWU,451
SWU,KKU,451
KMUTNB,KKU,442
KKU,KMUTNB,442
CMU,RU,705
RU,CMU,705
CMU,ABAC,732
ABAC,CMU,732
PSU,CMU,1629
CMU,PSU,1629